77	SOLIDARIEDADE	00310	13
10	PARTIDO REPUBLICANO BRASILEIRO	00337	13
11	PARTIDO PROGRESSISTA	00337	13
12	PARTIDO DEMOCRÁTICO TRABALHISTA	00337	13
13	PARTIDO DOS TRABALHADORES	00337	13
14	PARTIDO TRABALHISTA BRASILEIRO	00337	13
15	PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO	00337	13
20	PARTIDO SOCIAL CRISTÃO	00337	13
22	PARTIDO DA REPÚBLICA	00337	13
27	PARTIDO SOCIAL DEMOCRATA CRISTÃO	00337	13
33	PARTIDO DA MOBILIZAÇÃO NACIONAL	00337	13
40	PARTIDO SOCIALISTA BRASILEIRO	00337	13
43	PARTIDO VERDE	00337	13
45	PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA	00337	13
55	PARTIDO SOCIAL DEMOCRÁTICO	00337	13
77	SOLIDARIEDADE	00337	13
11	PARTIDO PROGRESSISTA	00353	13
13	PARTIDO DOS TRABALHADORES	00353	13
14	PARTIDO TRABALHISTA BRASILEIRO	00353	13
15	PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO	00353	13
17	PARTIDO SOCIAL LIBERAL	00353	13
20	PARTIDO SOCIAL CRISTÃO	00353	13
22	PARTIDO DA REPÚBLICA	00353	13
25	DEMOCRATAS	00353	13
40	PARTIDO SOCIALISTA BRASILEIRO	00353	13
45	PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA	00353	13
55	PARTIDO SOCIAL DEMOCRÁTICO	00353	13
10	PARTIDO REPUBLICANO BRASILEIRO	00370	13
11	PARTIDO PROGRESSISTA	00370	13
12	PARTIDO DEMOCRÁTICO TRABALHISTA	00370	13
13	PARTIDO DOS TRABALHADORES	00370	13
14	PARTIDO TRABALHISTA BRASILEIRO	00370	13
15	PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO	00370	13
19	PARTIDO TRABALHISTA NACIONAL	00370	13
20	PARTIDO SOCIAL CRISTÃO	00370	13
22	PARTIDO DA REPÚBLICA	00370	13
23	PARTIDO POPULAR SOCIALISTA	00370	13
25	DEMOCRATAS	00370	13
27	PARTIDO SOCIAL DEMOCRATA CRISTÃO	00370	13
31	PARTIDO HUMANISTA DA SOLIDARIEDADE	00370	13
40	PARTIDO SOCIALISTA BRASILEIRO	00370	13
43	PARTIDO VERDE	00370	13
45	PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA	00370	13
55	PARTIDO SOCIAL DEMOCRÁTICO	00370	13
77	SOLIDARIEDADE	00370	13
90	PARTIDO REPUBLICANO DA ORDEM SOCIAL	00370	13
10	PARTIDO REPUBLICANO BRASILEIRO	00396	13
11	PARTIDO PROGRESSISTA	00396	13
12	PARTIDO DEMOCRÁTICO TRABALHISTA	00396	13
13	PARTIDO DOS TRABALHADORES	00396	13
14	PARTIDO TRABALHISTA BRASILEIRO	00396	13
15	PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO	00396	13
17	PARTIDO SOCIAL LIBERAL	00396	13
19	PARTIDO TRABALHISTA NACIONAL	00396	13
20	PARTIDO SOCIAL CRISTÃO	00396	13
22	PARTIDO DA REPÚBLICA	00396	13
23	PARTIDO POPULAR SOCIALISTA	00396	13
25	DEMOCRATAS	00396	13
27	PARTIDO SOCIAL DEMOCRATA CRISTÃO	00396	13
31	PARTIDO HUMANISTA DA SOLIDARIEDADE	00396	13
33	PARTIDO DA MOBILIZAÇÃO NACIONAL	00396	13
40	PARTIDO SOCIALISTA BRASILEIRO	00396	13
43	PARTIDO VERDE	00396	13
44	PARTIDO REPUBLICANO PROGRESSISTA	00396	13
45	PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA	00396	13
51	PARTIDO ECOLÓGICO NACIONAL	00396	13
55	PARTIDO SOCIAL DEMOCRÁTICO	00396	13
65	PARTIDO COMUNISTA DO BRASIL	00396	13
70	PARTIDO TRABALHISTA DO BRASIL	00396	13
77	SOLIDARIEDADE	00396	13
10	PARTIDO REPUBLICANO BRASILEIRO	00418	13
11	PARTIDO PROGRESSISTA	00418	13
12	PARTIDO DEMOCRÁTICO TRABALHISTA	00418	13
13	PARTIDO DOS TRABALHADORES	00418	13
14	PARTIDO TRABALHISTA BRASILEIRO	00418	13
15	PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO	00418	13
19	PARTIDO TRABALHISTA NACIONAL	00418	13
22	PARTIDO DA REPÚBLICA	00418	13
25	DEMOCRATAS	00418	13
27	PARTIDO SOCIAL DEMOCRATA CRISTÃO	00418	13
40	PARTIDO SOCIALISTA BRASILEIRO	00418	13
43	PARTIDO VERDE	00418	13
55	PARTIDO SOCIAL DEMOCRÁTICO	00418	13
90	PARTIDO REPUBLICANO DA ORDEM SOCIAL	00418	13
10	PARTIDO REPUBLICANO BRASILEIRO	00434	13
11	PARTIDO PROGRESSISTA	00434	13
12	PARTIDO DEMOCRÁTICO TRABALHISTA	00434	13
13	PARTIDO DOS TRABALHADORES	00434	13
14	PARTIDO TRABALHISTA BRASILEIRO	00434	13
15	PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO	00434	13
17	PARTIDO SOCIAL LIBERAL	00434	13
19	PARTIDO TRABALHISTA NACIONAL	00434	13
22	PARTIDO DA REPÚBLICA	00434	13
31	PARTIDO HUMANISTA DA SOLIDARIEDADE	00434	13
33	PARTIDO DA MOBILIZAÇÃO NACIONAL	00434	13
40	PARTIDO SOCIALISTA BRASILEIRO	00434	13
43	PARTIDO VERDE	00434	13
45	PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA	00434	13
77	SOLIDARIEDADE	00434	13
11	PARTIDO PROGRESSISTA	00450	13
12	PARTIDO DEMOCRÁTICO TRABALHISTA	00450	13
13	PARTIDO DOS TRABALHADORES	00450	13
14	PARTIDO TRABALHISTA BRASILEIRO	00450	13
15	PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO	00450	13
22	PARTIDO DA REPÚBLICA	00450	13
27	PARTIDO SOCIAL DEMOCRATA CRISTÃO	00450	13
40	PARTIDO SOCIALISTA BRASILEIRO	00450	13
